title;relevancy;engagement;activity
24;0.117462803;0.022015789;1366
300;0.061863743;0.015278345;543
2012;0.071260767;0.025758813;831
2013;0.028974158;0.016060977;515
#eksisozlukkapatilsin;0.009397024;0.018068599;573
#ulkemdesuriyeliistemiyorum;0.001566171;0.01711583;540
1 agustos 2016 cnn turk tarafsiz bolge yayini;0.003915427;0.01493807;549
1 aralik 2016 alkol ve sigaraya otv zammi;0.000783085;0.016945692;518
1 ekim 2014 arsenal galatasaray maci;0.013312451;0.020144277;916
1 ekim 2015 celtic fenerbahce maci;0.005481597;0.01303253;550
1 kasim 2015 erken genel secim tahmin yarismasi;0;0.021981761;674
1 kasim 2015 genel seciminin tek cumlelik ozeti;0.000783085;0.032121955;1009
1 kasim 2015 turkiye erken genel secim sonuclari;0.014095536;0.059548115;2165
1 kasim 2015 turkiye erken genel secim tahminleri;0.000783085;0.040628828;1433
1 kasim 2015 turkiye erken genel secimi;0.027407987;0.029774057;1121
1 kasim 2016 besiktas napoli maci;0.007830854;0.024125493;937
1 mayis;0.040720439;0.020620661;652
1 mayis 2008;0.015661707;0.012420035;538
1 yasindaki bebege dogum gunu kutlamak;0;0.021131074;633
1.85 boyunda zeki esprili yakisikli kulturlu erkek;0.004698512;0.054546073;1702
1.90 boyundaki turk erkegi;0.002349256;0.018272764;567
10 11 aralik 2013 galatasaray juventus maci;0.015661707;0.03232612;1411
10 agustos 2014 cumhurbaskanligi secimi;0.018010963;0.037294134;777
10 aralik 2015 sporting lizbon besiktas maci;0.012529366;0.018681094;506
10 aralik 2016 anayasa degisikligi teklifi;0.003915427;0.015108207;829
10 aralik 2016 besiktas bursaspor maci;0.006264683;0.019157479;2336
10 aralik 2016 besiktas patlamasi;0.023492561;0.069824418;522
10 aralik 2016 canli bombaya dogru kosan polisler;0;0.017354022;881
10 bin tl maas almak;0.002349256;0.027732408;593
10 bin tl mi kate upton la bir gece mi;0;0.019497754;2638
10 ekim 2015 ankara baris mitinginde patlama;0.05403289;0.072342453;528
10 kasim;0.0321065;0.016639445;967
10 kasim 2013 fenerbahce galatasaray maci;0.023492561;0.022560229;841
10 km uzaktan selektor yapan bmw li;0.005481597;0.025860896;769
10 mart 2014 trabzonspor fenerbahce maci;0.013312451;0.016060977;687
10 mart 2016 fenerbahce braga maci;0.002349256;0.018306792;557
10 mayis 2014 basbakanin feyzioglu na tepkisi;0.005481597;0.016401252;638
10 ocak 2016 baris icin akademisyenler bildirisi;0.005481597;0.017558187;1065
10 temmuz 2016 portekiz fransa maci;0.005481597;0.025656731;1621
1000 yil sonra yasadigimiz doneme verilecek ad;0;0.018340819;549
11 agustos 1999 gunes tutulmasini gormus nesil;0;0.02783449;849
11 agustos 2013 galatasaray fenerbahce maci;0.031323414;0.021267184;957
11 eylul 2010 turkiye sirbistan basketbol maci;0.020360219;0.023036614;1120
11 haziran 2013 taksim e polis mudahalesi;0.005481597;0.024159521;987
11 kasim 2011 turkiye hirvatistan maci;0.031323414;0.01697972;1012
11 mart 2011 japonya depremi;0.018010963;0.01235198;633
11 mayis 2013 reyhanli bombali saldirisi;0.018010963;0.035150402;644
11 nisan 2013 lazio fenerbahce maci;0.01018011;0.011501293;1588
11 nisan 2016 besiktas bursaspor maci;0.008613939;0.030454607;509
11 subat 2015 ozgecan aslan cinayeti;0.008613939;0.034265687;1282
1112211.com;0.003915427;0.024159521;1152
12 agustos 2012 galatasaray fenerbahce maci;0.028191073;0.019633864;804
12 angry men;0.035238841;0.023853273;728
12 aralik 2015 euro 2016 kura cekimi;0.003132341;0.01412141;530
12 aralik 2016 antalyaspor fenerbahce maci;0.003132341;0.014597795;571
12 eylul;0.107282694;0.01575473;552
12 eylul 2010 anayasa degisikligi referandumu;0.042286609;0.031441405;1461
12 eylul 2010 turkiye abd basketbol maci;0.003132341;0.015006125;594
12 haziran 2011 milletvekili genel secim sonuclari;0.010963195;0.018544984;664
12 haziran 2011 milletvekili genel secimleri;0.028191073;0.0320539;1295
12 haziran 2013 necati sasmaz in sacmalamasi;0.006264683;0.019259562;649
12 haziran 2014 brezilya hirvatistan maci;0.004698512;0.01303253;566
12 haziran 2016 turkiye hirvatistan maci;0.016444792;0.053797468;2410
12 kasim 2014 philae nin 67p ye inisi;0.004698512;0.011467266;504
12 kasim 2014 turkiye brezilya maci;0.008613939;0.013781135;519
12 mart 2013 schalke 04 galatasaray maci;0.021143305;0.027085885;1226
12 mart 2015 club brugge besiktas maci;0.007047768;0.013542943;544
12 mayis 2012 fenerbahce galatasaray maci;0.058731402;0.038348986;1572
12 mayis 2013 fenerbahce galatasaray maci;0.027407987;0.018579012;776
12 numara;0.012529366;0.015550565;630
12 ocak 2016 sultanahmet meydani ndaki patlama;0.020360219;0.032870559;1094
13 agustos 2016 besiktas galatasaray maci;0.018794049;0.031713625;1305
13 ekim 2014 letonya turkiye maci;0.008613939;0.014870015;663
13 ekim 2015 turkiye izlanda maci;0.012529366;0.025962978;599
13 eylul 2016 benfica besiktas maci;0.012529366;0.028583095;1011
13 haziran 2014 ispanya hollanda maci;0.005481597;0.014359603;1196
13 kasim 2015 paris saldirilari;0.018794049;0.039710086;642
13 mart 2016 ankara patlamasi;0.051683634;0.098271403;1437
13 mayis 2014 soma maden ocagi patlamasi;0.039154268;0.094528379;3378
13 mayis 2016 fenerbahce laboral kutxa maci;0.003915427;0.024159521;4201
13 nisan 2016 galatasaray fenerbahce maci;0.018010963;0.028412958;1069
13 subat 2016 metrobusteki mavi paltolu kiz;0.002349256;0.020314414;1151
13 temmuz 2014 almanya arjantin maci;0.007830854;0.026133116;1198
13 temmuz 2014 metallica istanbul konseri;0.01018011;0.020246359;1116
13 yasinda alinan nick ler;0.003132341;0.036545529;1122
13 yasindaki cocuga 100 bin euro luk tekne almak;0.005481597;0.024908126;789
13 yasindaki kizin babasindan hamile kalmasi;0.002349256;0.019769974;594
14 agustos 2016;0.003132341;0.020858854;725
14 aralik 2014 paralel devlet operasyonu;0.003915427;0.015006125;560
14 aralik 2015 besiktas galatasaray maci;0.025058731;0.040254526;1724
14 aralik 2016 milli seferberlik ilan edilmesi;0.002349256;0.021267184;660
14 ekim 2012 felix baumgartner in uzaydan atlayisi;0.003915427;0.013236695;544
14 nisan 2016 fenerbahce real madrid maci;0.003132341;0.014155438;631
14 ocak 2016 pkk diyarbakir saldirisi;0.001566171;0.015380427;567
14 subat;0.03367267;0.017081802;564
14 subat 2016 medipol basaksehir besiktas maci;0.003915427;0.01452974;569
14 subat 2016 sevgililer gunu;0;0.018306792;508
146 dan internete giren efsanevi nesil;0.001566171;0.017558187;539
15 aralik 2013 kasimpasa besiktas maci;0.005481597;0.018953314;951
15 aralik 2016 8.000 caylak in yazar olmasi;0.001566171;0.02688172;813
15 ekim 2013 turkiye hollanda maci;0.015661707;0.015278345;630
15 eylul 2015 galatasaray atletico madrid maci;0.01174628;0.030250442;1265
15 haziran 2013 taksim e polis mudahalesi;0.014095536;0.021607459;1019
15 mart 2013 uefa sampiyonlar ligi kura cekimi;0.003132341;0.014155438;519
15 mart 2016 trabzonspor besiktas maci;0.006264683;0.013679053;563
15 mayis 2011 sansure karsi yuruyus;0.030540329;0.030318497;1229
15 mayis 2015 real madrid fenerbahce ulker maci;0.002349256;0.017932489;867
15 mayis 2016 besiktas osmanlispor maci;0.003132341;0.017592215;682
15 mayis 2016 fenerbahce cska moskova maci;0.007830854;0.046889887;2270
15 mayis 2016 mhp olaganustu kongresi;0.001566171;0.013645025;537
15 mayis sansure karsi yuruyus pankart onerileri;0.002349256;0.012726283;505
15 temmuz 2016 darbe girisimi;0.060297572;0.108785899;4479
15 temmuz 2016 darbe girisimi tiyatrosu;0.001566171;0.01752416;598
15 temmuz 2016 nice saldirisi;0.001566171;0.025452566;827
16 agustos 2015 mersin idman yurdu besiktas maci;0.007830854;0.010990881;503
16 aralik 2012 galatasaray fenerbahce maci;0.028191073;0.016265142;686
16 eylul 2014 galatasaray anderlecht maci;0.017227878;0.018204709;759
16 mayis 2015 ferhat kaplan in yedigi gol;0.001566171;0.017319995;771
16 mayis 2015 galatasaray genclerbirligi maci;0.013312451;0.017490132;588
16 nisan 2012 besiktas galatasaray maci;0.020360219;0.012283925;757
16 subat 2016 fenerbahce lokomotiv moskova maci;0.006264683;0.020586634;514
16 temmuz 2016 camilerden sela verilmesi;0;0.017796379;585
16 temmuz 2016 sabahi hissedilenler;0.000783085;0.023921328;719
16. yuzyildan sozluk basliklari;0;0.016809582;722
17 agustos 1999;0.039937353;0.048965564;1668
